"id","tx","ty","tz","rx","ry","rz"
11,0.0927435,0.930606,1.47592,-0.0821294,-3.05993,-0.100282
15,0.274739,0.912879,1.45804,-0.385178,-3.0286,-0.100434
7,-0.0731426,0.913639,1.4824,0.191137,-3.05925,-0.110711
19,0.446106,0.866975,1.44754,-0.653106,-2.99163,-0.0933665
3,-0.248258,0.866089,1.49362,0.492313,-3.03804,-0.116857
23,0.603778,0.79192,1.43563,-0.918046,-2.9096,-0.0798297
9,0.0843842,0.763057,1.47297,-0.0748282,-3.06169,-0.122364
17,0.375984,0.71252,1.44643,-0.658597,-2.98597,-0.0921858
27,0.761953,0.682073,1.43125,-1.19669,-2.81804,-0.0533138
21,0.507226,0.65233,1.43768,-0.913866,-2.9095,-0.0746185
66,-0.288579,0.60619,1.48992,3.08629,0.97338,-0.0929973
25,0.638002,0.562038,1.43258,-1.19341,-2.80537,-0.0523812
31,0.876628,0.551084,1.41274,-1.44002,-2.69521,-0.0441987
142,0.271169,0.551982,1.4532,-0.416056,-3.02779,-0.101171
62,-0.39373,0.530008,1.49387,2.98802,1.22273,-0.0634587
56,-0.626742,0.532092,1.50942,-2.70212,-1.40116,0.0560976
150,0.417915,0.494465,1.43772,-0.90926,-2.90558,-0.0869644
132,-0.237595,0.48751,1.47875,0.934583,-2.9491,-0.131725
29,0.735667,0.456547,1.42057,1.51138,2.84554,0.0460029
58,-0.491427,0.437937,1.50797,-2.71812,-1.41171,0.0501131
151,0.517824,0.414682,1.43407,-1.23708,-2.78691,-0.0475372
143,0.0247218,0.381406,1.46227,0.234438,-3.05446,-0.14444
153,0.33237,0.33419,1.43719,-0.756668,-2.93933,-0.112477
152,0.593262,0.317873,1.42642,-1.47479,-2.66767,-0.0421156
130,-0.417604,0.289374,1.48005,1.45915,-2.73111,-0.157937
48,-0.788546,0.241586,1.5174,-2.4183,-1.86351,0.0606402
37,0.867807,0.22302,1.41195,-1.86047,-2.42877,-0.00941614
133,-0.267781,0.207253,1.47483,1.49653,-2.71989,-0.140602
135,-0.0815042,0.154688,1.46646,-1.14492,2.92378,0.125083
155,0.261229,0.1477,1.42952,-1.1585,-2.79694,-0.138136
160,0.688486,0.137446,1.41644,1.9328,2.5904,0.021312
43,1.08032,0.103686,1.40312,-2.07036,-2.25413,0.0239369
163,0.515185,0.070119,1.43339,-1.90083,-2.37529,0.0117099
161,0.71518,0.0107461,1.41996,-2.00381,-2.29517,0.0119138
165,0.336855,-0.0202675,1.435,-2.03287,-2.25366,-0.0418076
45,0.907965,-0.0486619,1.39443,-2.2633,-2.08704,0.0038375
42,-0.664291,-0.0684614,1.50548,-2.04455,-2.27826,0.0147781
47,1.08842,-0.0628321,1.39417,-2.25422,-2.0764,0.026834
162,0.717446,-0.120271,1.41595,-2.26073,-2.04779,0.0242627
175,0.286909,-0.219781,1.42088,2.88676,1.24911,-0.0614202
51,1.06295,-0.245333,1.38351,-2.45527,-1.85189,0.0304667
112,-0.423297,-0.361128,1.47394,2.70499,-1.55961,-0.141499
170,0.61424,-0.364507,1.41169,-2.68104,-1.4964,0.0679803
32,-0.766069,-0.394742,1.49825,1.7061,2.74323,-0.0278306
113,-0.140183,-0.400235,1.44827,2.9804,-0.925432,-0.116164
30,-0.552387,-0.431086,1.4784,-1.40148,-2.72751,0.00605979
55,1.01217,-0.413738,1.38368,2.71217,1.68981,-0.0564022
111,-0.336321,-0.473657,1.46123,2.84461,-1.29739,-0.11527
